LGA,LGA Code,Departmental Region,City_Regional,Index of Relative Socio-Economic Disadvantage (IRSD),Index of Relative Socio-Economic Disadvantage (IRSD) (rank),Percentage of highly disadvantaged SA1s,Percentage of highly disadvantaged SA1s (rank),People with income less than $400 per week,People with income less than $400 per week (rank),Median household income,Median household income (rank),Median house price,Median house price (rank),Journeys to work which are by car,Journeys to work which are by car (rank),People with at least 2 hour daily commute,People with at least 2 hour daily commute (rank),People at increased risk of alcohol-related harm on a single occasion of drinking,People at increased risk of alcohol-related harm on a single occasion of drinking (rank),People reporting fair or poor health status,People reporting fair or poor health status (rank),"Clients that received Alcohol & Drug Treatment Services per 1,000 population","Clients that received Alcohol & Drug Treatment Services per 1,000 population (rank)",Total_pop,total_crashes,total_inj,inj_fatal,fatal,serious,minor,no_inj,alcohol,male,female,old_driver,young_driver,crash_per_person
ALPINE,20110,Hume,Regional,987,35,0.23800000000000002,33,0.44799999999999995,21,829,67,265000,50,0.439,77,0.083,35,0.561,6,0.193,10,1.0,78,12335,227,437,281,4,93,184,156,6.0,274,147,19,27,0.018402918524523713
ARARAT,20260,Grampians,Regional,951,11,0.455,8,0.433,30,844,64,193000,68,0.687,38,0.0,0,0.48200000000000004,31,0.14400000000000002,45,11.5,4,11599,150,344,221,8,71,142,123,5.0,207,132,13,35,0.01293214932321752
BALLARAT,20570,Grampians,Regional,981,29,0.315,23,0.41700000000000004,39,988,44,294000,48,0.738,15,0.047,47,0.537,15,0.12300000000000001,60,5.5,31,101689,1134,2918,1531,20,316,1195,1387,56.0,1412,1345,101,406,0.011151648654230054
BANYULE,20660,Northern Metropolitan,Metro,1047,67,0.083,60,0.369,68,1394,12,620000,17,0.6409999999999999,55,0.20600000000000002,5,0.40700000000000003,64,0.16699999999999998,31,3.7,54,121869,909,2224,1127,10,247,870,1097,18.0,1158,973,81,289,0.007458828742338084
BASS COAST,20740,Gippsland,Regional,978,27,0.21600000000000003,36,0.43799999999999994,26,855,61,340000,38,0.7140000000000001,25,0.068,40,0.452,44,0.177,20,7.1,17,32806,340,878,485,11,142,332,393,20.0,470,386,32,95,0.010363957812595257
BAW BAW,20830,Gippsland,Regional,998,47,0.152,54,0.415,41,1025,40,309000,44,0.6990000000000001,32,0.10800000000000001,25,0.429,59,0.129,58,5.1,35,48477,780,1404,950,16,292,642,454,28.0,848,515,37,208,0.016090104585679808
BAYSIDE,20910,Southern Metropolitan,Metro,1091,77,0.023,73,0.327,76,1826,3,1250000,3,0.627,57,0.141,20,0.505,23,0.085,78,2.8,67,97092,799,1882,964,12,290,662,918,20.0,1028,793,107,177,0.008229308284925638
BENALLA,21010,Hume,Regional,957,16,0.297,26,0.44799999999999995,22,827,69,235500,59,0.693,34,0.0,0,0.402,66,0.098,71,3.2,62,13863,192,484,249,10,96,143,235,5.0,267,200,21,52,0.01384981605713049
BENDIGO,22620,Loddon Mallee,Regional,983,31,0.28,28,0.413,43,991,43,320000,41,0.74,13,0.0,0,0.441,50,0.172,26,7.1,15,110479,1282,2941,1610,23,426,1161,1331,53.0,1522,1307,104,432,0.01160401524271581
BOROONDARA,21110,Eastern Metropolitan,Metro,1098,78,0.008,75,0.33299999999999996,75,1893,1,1550000,1,0.5660000000000001,68,0.055,43,0.488,28,0.10300000000000001,68,2.5,70,167232,1440,3312,1630,14,384,1232,1682,37.0,1791,1368,117,358,0.008610792192881744
BRIMBANK,21180,Western Metropolitan,Metro,926,3,0.591,3,0.483,6,1106,34,405000,28,0.715,24,0.16699999999999998,11,0.33799999999999997,74,0.23800000000000002,3,6.3,24,194315,1960,5160,2446,33,633,1780,2714,61.0,2864,1988,92,653,0.01008671487018501
BULOKE,21270,Loddon Mallee,Regional,968,22,0.381,16,0.496,5,742,76,95000,77,0.5670000000000001,67,0.0,0,0.456,42,0.21600000000000003,6,2.8,68,6202,88,168,127,10,44,73,41,11.0,98,67,5,22,0.01418897129958078
CAMPASPE,21370,Loddon Mallee,Regional,964,20,0.359,20,0.442,24,886,58,247000,56,0.687,39,0.025,58,0.493,26,0.15,40,6.5,20,37054,422,954,603,21,181,401,351,28.0,545,382,37,127,0.011388783936956874
CARDINIA,21450,Southern Metropolitan,Metro,1024,59,0.098,58,0.376,65,1303,20,355000,36,0.745,10,0.16699999999999998,11,0.42700000000000005,60,0.129,59,4.8,40,94130,956,2193,1283,33,427,823,910,39.0,1143,961,54,313,0.010156167003080845
CASEY,21610,Southern Metropolitan,Metro,1006,51,0.19699999999999998,44,0.397,55,1342,16,401000,29,0.7659999999999999,1,0.166,13,0.369,69,0.17300000000000001,24,4.3,46,299296,2494,6767,3260,31,837,2392,3507,87.0,3517,2874,128,1016,0.008332887843472683
CENTRAL GOLDFIELDS,21670,Loddon Mallee,Regional,905,2,0.657,2,0.535,2,685,79,200000,66,0.6940000000000001,33,0.09300000000000001,32,0.45299999999999996,43,0.18,17,8.6,11,12993,120,235,147,9,55,83,88,7.0,142,89,20,28,0.009235742322789195
COLAC OTWAY,21750,Barwon-South Western,Regional,965,21,0.259,29,0.418,37,914,51,271500,49,0.6709999999999999,45,0.0,0,0.56,7,0.09300000000000001,76,6.9,18,20971,469,1134,717,17,237,463,417,21.0,644,436,32,116,0.022364217252396165
CORANGAMITE,21830,Barwon-South Western,Regional,986,34,0.218,35,0.435,27,909,53,180000,69,0.583,66,0.042,49,0.44,52,0.14300000000000002,46,4.2,47,16053,241,627,398,23,153,222,229,19.0,351,237,13,67,0.015012770198716751
DANDENONG,22670,Southern Metropolitan,Metro,895,1,0.767,1,0.504,4,953,46,450000,24,0.723,18,0.10300000000000001,27,0.26,79,0.29100000000000004,1,6.3,25,152052,2184,5725,2809,22,867,1920,2916,71.0,3235,2099,98,679,0.014363507221213795
DAREBIN,21890,Northern Metropolitan,Metro,990,39,0.242,31,0.42,36,1178,31,700000,13,0.542,71,0.14800000000000002,17,0.371,68,0.20800000000000002,7,5.3,33,146722,1512,3768,1871,11,424,1436,1897,20.0,2055,1473,106,398,0.010305203037036028
EAST GIPPSLAND,22110,Gippsland,Regional,958,17,0.36700000000000005,18,0.47,9,798,72,259000,52,0.691,35,0.075,37,0.44,51,0.179,18,10.0,8,45041,651,1291,884,29,268,587,407,36.0,772,483,52,159,0.014453497924113585
FRANKSTON,22170,Southern Metropolitan,Metro,997,44,0.215,38,0.386,58,1140,33,400000,30,0.747,9,0.22,2,0.446,48,0.139,50,7.1,16,134144,1099,2749,1410,18,387,1005,1339,53.0,1449,1126,83,369,0.008192688454198474
GANNAWARRA,22250,Loddon Mallee,Regional,959,18,0.361,19,0.48,7,764,75,145000,74,0.642,53,0.0,60,0.293,76,0.149,41,20.6,1,10548,125,238,163,7,64,92,75,10.0,162,70,13,30,0.011850587789154342
GEELONG,22750,Barwon-South Western,Regional,993,40,0.24100000000000002,32,0.418,38,1049,38,388000,31,0.7240000000000001,17,0.098,29,0.449,46,0.152,38,5.9,26,233426,2324,5826,3038,33,885,2120,2788,97.0,2990,2570,201,847,0.009956046027434818
GLEN EIRA,22310,Southern Metropolitan,Metro,1069,74,0.0,76,0.349,73,1445,8,1021000,5,0.59,65,0.095,31,0.457,41,0.096,72,3.0,66,140875,1292,3154,1573,10,379,1184,1581,28.0,1660,1364,138,354,0.009171251109139309
GLENELG,22410,Barwon-South Western,Regional,960,19,0.45,9,0.456,14,899,56,170000,71,0.69,36,0.0,0,0.361,72,0.147,44,9.5,9,19556,221,443,316,19,114,183,127,17.0,279,146,10,58,0.01130087952546533
GOLDEN PLAINS,22490,Grampians,Regional,1030,62,0.063,64,0.408,46,1217,27,357500,35,0.745,11,0.063,41,0.484,30,0.149,42,2.4,71,21687,295,608,421,16,175,230,187,27.0,369,224,17,87,0.013602619080555172
HEPBURN,22910,Grampians,Regional,980,28,0.244,30,0.45799999999999996,13,850,62,330002,40,0.6559999999999999,48,0.085,33,0.47600000000000003,33,0.115,64,4.0,50,15327,205,343,248,14,80,154,95,18.0,210,129,15,42,0.013375089710967573
HINDMARSH,22980,Grampians,Regional,947,9,0.5,4,0.466,11,785,73,90000,78,0.594,64,0.08,36,0.514,22,0.196,9,5.7,28,5725,57,122,80,3,38,39,42,5.0,80,40,5,8,0.009956331877729258
HOBSONS BAY,23110,Western Metropolitan,Metro,1002,49,0.20199999999999999,43,0.39899999999999997,51,1286,22,580000,21,0.657,47,0.14,22,0.462,38,0.158,34,4.4,44,88777,864,2216,1079,9,249,821,1137,22.0,1266,832,54,250,0.009732250470279464
HORSHAM,23190,Grampians,Regional,987,36,0.184,47,0.397,53,946,47,211000,64,0.716,23,0.0,0,0.498,24,0.187,12,13.2,2,19641,208,496,309,10,76,223,187,8.0,252,233,21,76,0.010590092154167303
HUME,23270,Northern Metropolitan,Metro,952,12,0.39399999999999996,14,0.45299999999999996,16,1214,29,365000,34,0.743,12,0.084,34,0.276,77,0.218,5,5.5,30,197376,1949,5091,2548,19,482,2047,2543,43.0,2824,1953,58,783,0.009874554150453956
INDIGO,23350,Hume,Regional,1010,53,0.159,53,0.401,50,1066,36,251000,53,0.701,31,0.0,0,0.583,4,0.134,53,2.1,75,15953,226,433,301,16,118,167,132,3.0,227,172,9,55,0.014166614429887795
KINGSTON,23430,Southern Metropolitan,Metro,1038,64,0.069,63,0.37799999999999995,62,1292,21,675000,14,0.687,40,0.141,20,0.451,45,0.174,23,3.7,53,151389,1532,3793,1931,19,489,1423,1862,40.0,2043,1599,152,464,0.010119625600274788
KNOX,23670,Eastern Metropolitan,Metro,1049,68,0.027999999999999997,72,0.37799999999999995,63,1401,10,565000,22,0.7490000000000001,6,0.142,19,0.374,67,0.174,22,6.5,21,154109,1319,3330,1689,21,389,1279,1641,43.0,1740,1465,98,511,0.008558877158374917
LATROBE,23810,Gippsland,Regional,940,7,0.446,10,0.452,17,942,48,218000,63,0.764,2,0.0,0,0.433,56,0.153,36,10.5,6,73257,709,1564,924,19,210,695,640,51.0,841,668,53,221,0.009678256002839319
LODDON,23940,Loddon Mallee,Regional,934,4,0.5,4,0.542,1,686,78,135000,75,0.551,70,0.0,0,0.41,63,0.184,15,7.5,13,7512,136,267,192,5,76,111,75,2.0,170,96,7,36,0.01810436634717785
MACEDON RANGES,24130,Loddon Mallee,Regional,1055,71,0.038,69,0.377,64,1395,11,440000,26,0.684,41,0.21,4,0.44299999999999995,49,0.131,56,3.2,61,46103,491,948,646,18,257,371,302,22.0,564,349,27,121,0.010650066156215431
MANNINGHAM,24210,Eastern Metropolitan,Metro,1071,75,0.0,76,0.39799999999999996,52,1467,7,887500,8,0.7040000000000001,30,0.188,7,0.361,71,0.091,77,2.2,74,116260,762,1841,951,8,241,702,890,15.0,973,794,89,244,0.006554274901083778
MANSFIELD,24250,Hume,Regional,1012,54,0.05,67,0.429,32,891,57,296000,47,0.473,75,0.057,42,0.46299999999999997,37,0.099,70,1.2,77,8589,275,434,331,13,110,208,103,12.0,308,117,4,25,0.03201769705437187
MARIBYRNONG,24330,Western Metropolitan,Metro,974,24,0.303,25,0.405,47,1257,26,664500,15,0.563,69,0.11800000000000001,24,0.425,61,0.16899999999999998,27,5.6,29,82285,881,2177,1041,12,257,772,1136,26.0,1199,868,45,246,0.010706690162240991
MAROONDAH,24410,Eastern Metropolitan,Metro,1044,65,0.062,65,0.364,70,1308,19,600000,19,0.7070000000000001,27,0.105,26,0.48700000000000004,29,0.14300000000000002,47,4.7,42,110372,963,2371,1190,7,276,907,1181,33.0,1216,1055,68,368,0.008725038959156307
MELBOURNE,24600,Western Metropolitan,Metro,1026,60,0.10300000000000001,57,0.374,66,1352,15,890000,7,0.268,79,0.048,46,0.47700000000000004,32,0.16699999999999998,30,3.8,52,135964,3593,8942,4155,19,974,3162,4787,50.0,5233,3070,60,790,0.026426112794563267
MELTON,24650,Western Metropolitan,Metro,1002,50,0.222,34,0.37799999999999995,60,1363,14,372000,33,0.748,8,0.21899999999999997,3,0.275,78,0.187,13,4.7,41,135443,1010,2472,1348,26,387,935,1124,46.0,1394,980,28,340,0.007457011436545263
MILDURA,24780,Loddon Mallee,Regional,935,5,0.43700000000000006,11,0.451,19,878,60,225000,62,0.7390000000000001,14,0.0,0,0.465,35,0.134,54,10.9,5,53878,551,1321,749,15,159,575,572,45.0,710,562,47,158,0.010226808715987972
MITCHELL,24850,Hume,Regional,996,43,0.212,40,0.405,48,1170,32,305250,45,0.716,22,0.154,16,0.46399999999999997,36,0.162,32,5.4,32,40916,610,1235,778,19,279,480,457,22.0,708,484,34,171,0.014908593215368072
MOIRA,24900,Hume,Regional,952,15,0.38299999999999995,15,0.47,10,828,68,240000,58,0.6809999999999999,44,0.034,52,0.539,14,0.188,11,3.6,55,29108,306,640,427,22,157,248,213,19.0,400,222,29,84,0.010512573862855572
MONASH,24970,Eastern Metropolitan,Metro,1045,66,0.028999999999999998,71,0.43,31,1321,17,850000,9,0.652,49,0.191,6,0.36700000000000005,70,0.168,28,2.3,73,182617,1856,4777,2290,22,546,1722,2487,43.0,2582,1971,150,624,0.01016334733349031
MOONEE VALLEY,25060,Western Metropolitan,Metro,1027,61,0.077,61,0.37799999999999995,61,1377,13,750000,11,0.617,61,0.05,44,0.40399999999999997,65,0.185,14,5.1,37,116674,1034,2481,1247,14,206,1027,1234,22.0,1334,1024,76,306,0.008862300083994721
MOORABOOL,25150,Grampians,Regional,1008,52,0.107,56,0.41100000000000003,44,1183,30,337750,39,0.7190000000000001,21,0.187,8,0.537,16,0.122,61,3.1,64,31820,431,815,560,17,217,326,255,25.0,539,254,13,119,0.013544940289126336
MORELAND,25250,Northern Metropolitan,Metro,998,47,0.212,39,0.409,45,1215,28,630000,16,0.526,72,0.071,39,0.43799999999999994,53,0.182,16,5.1,34,162564,1831,4460,2129,16,378,1735,2331,34.0,2467,1714,124,510,0.011263256317511872
MORNINGTON PENINSULA,25340,Southern Metropolitan,Metro,1023,58,0.159,52,0.395,57,1054,37,523334,23,0.727,16,0.14300000000000002,18,0.529,19,0.13,57,4.9,39,154996,1282,3084,1676,35,488,1153,1408,59.0,1620,1354,161,405,0.00827118119177269
MOUNT ALEXANDER,25430,Loddon Mallee,Regional,983,32,0.21600000000000003,37,0.45,20,838,66,345000,37,0.642,54,0.09699999999999999,30,0.43200000000000005,57,0.136,51,6.5,22,18762,199,350,236,11,88,137,114,11.0,214,132,17,51,0.010606545144440892
MOYNE,25490,Barwon-South Western,Regional,1017,56,0.096,59,0.397,54,1040,39,315000,43,0.596,63,0.040999999999999995,50,0.552,11,0.14,48,4.0,48,16499,226,492,342,12,158,172,150,18.0,273,214,19,79,0.013697799866658585
MURRINDINDI,25620,Hume,Regional,997,45,0.175,49,0.444,23,917,50,230000,60,0.644,51,0.124,23,0.5870000000000001,3,0.17800000000000002,19,3.2,63,13730,509,779,628,28,238,362,151,17.0,575,188,11,70,0.0370721048798252
NILLUMBIK,25710,Northern Metropolitan,Metro,1098,79,0.0,76,0.337,74,1872,2,617000,18,0.7090000000000001,26,0.165,14,0.555,8,0.094,74,2.4,72,61274,573,1223,693,10,217,466,530,26.0,689,484,26,177,0.00935143780396253
NORTHERN GRAMPIANS,25810,Grampians,Regional,938,6,0.47200000000000003,7,0.46,12,815,70,165000,73,0.684,42,0.033,55,0.457,40,0.168,29,12.0,3,11436,163,309,221,13,82,126,88,7.0,203,98,12,39,0.014253235396991954
PORT PHILLIP,25900,Southern Metropolitan,Metro,1066,72,0.055,66,0.24100000000000002,79,1672,6,1182500,4,0.457,76,0.05,44,0.5529999999999999,10,0.111,66,5.9,27,100863,1316,3038,1494,7,380,1107,1544,34.0,1756,1076,45,271,0.013047400929974322
PYRENEES,25990,Grampians,Regional,940,8,0.47600000000000003,6,0.519,3,732,77,195000,67,0.639,56,0.0,0,0.45799999999999996,39,0.172,25,4.0,49,7240,142,262,204,8,89,107,58,9.0,143,107,2,39,0.019613259668508288
QUEENSCLIFFE,26080,Barwon-South Western,Regional,1053,70,0.0,76,0.349,72,1022,42,750000,11,0.621,60,0.0,0,0.599,1,0.084,79,2.0,76,2854,8,20,9,0,2,7,11,0.0,11,8,2,2,0.002803083391730904
SHEPPARTON,22830,Hume,Regional,952,13,0.395,13,0.413,42,980,45,249000,55,0.76,3,0.024,59,0.49700000000000005,25,0.151,39,7.5,12,63839,752,1899,1075,29,366,680,824,37.0,1062,749,54,264,0.011779633139616849
SOUTH GIPPSLAND,26170,Gippsland,Regional,1000,48,0.16399999999999998,51,0.435,28,920,49,260000,51,0.644,52,0.039,51,0.419,62,0.11800000000000001,62,4.5,43,28700,448,878,607,22,170,415,271,23.0,494,364,28,133,0.015609756097560976
SOUTHERN GRAMPIANS,26260,Barwon-South Western,Regional,994,41,0.18,48,0.41700000000000004,40,908,54,180000,69,0.664,46,0.046,48,0.493,27,0.096,73,5.1,36,15941,150,283,195,8,88,99,88,6.0,151,122,15,34,0.009409698262342387
STONNINGTON,26350,Southern Metropolitan,Metro,1084,76,0.023,74,0.284,78,1722,4,1450000,2,0.488,74,0.034,52,0.54,13,0.139,49,3.5,57,103831,1407,3275,1606,7,406,1193,1669,32.0,1834,1270,90,347,0.013550866311602508
STRATHBOGIE,26430,Hume,Regional,970,23,0.281,27,0.452,18,843,65,246000,57,0.645,50,0.0,0,0.43,58,0.155,35,3.5,58,10272,205,438,297,15,138,144,141,9.0,265,163,13,51,0.019957165109034267
SURF COAST,26490,Barwon-South Western,Regional,1066,73,0.048,68,0.363,71,1277,24,599000,20,0.69,37,0.161,15,0.597,2,0.1,69,3.0,65,29402,391,835,501,15,177,309,334,17.0,490,308,25,112,0.013298415073804503
SWAN HILL,26610,Loddon Mallee,Regional,950,10,0.35,21,0.433,29,886,58,202938,65,0.706,28,0.032,56,0.525,20,0.161,33,9.1,10,20587,217,514,311,11,97,203,203,20.0,289,209,26,60,0.010540632437946278
TOWONG,26670,Hume,Regional,996,42,0.21100000000000002,41,0.45399999999999996,15,850,62,170000,71,0.604,62,0.073,38,0.5539999999999999,9,0.11199999999999999,65,0.0,0,5986,148,221,183,4,77,102,38,5.0,158,58,3,23,0.024724356832609422
WANGARATTA,26700,Hume,Regional,981,30,0.20800000000000002,42,0.423,35,913,52,251000,53,0.705,29,0.0,0,0.435,55,0.09300000000000001,75,2.5,69,28310,299,582,404,16,132,256,178,15.0,347,218,32,75,0.010561638996820912
WARRNAMBOOL,26730,Barwon-South Western,Regional,989,37,0.175,49,0.397,56,1025,40,318500,42,0.759,4,0.0,0,0.5710000000000001,5,0.106,67,10.5,7,33655,269,668,327,3,97,227,341,14.0,340,300,23,96,0.007992868815926311
WELLINGTON,26810,Gippsland,Regional,974,25,0.311,24,0.44,25,905,55,230000,60,0.682,43,0.032,56,0.525,21,0.132,55,6.8,19,42986,604,1154,800,24,266,510,354,42.0,742,378,32,143,0.01405108640022333
WEST WIMMERA,26890,Grampians,Regional,986,33,0.188,46,0.429,33,815,70,90000,78,0.519,73,0.0,0,0.535,17,0.19899999999999998,8,3.5,56,3905,53,114,88,2,43,43,26,1.0,69,41,2,14,0.01357234314980794
WHITEHORSE,26980,Eastern Metropolitan,Metro,1051,69,0.03,70,0.40399999999999997,49,1317,18,822444,10,0.622,59,0.10300000000000001,27,0.435,54,0.136,52,3.4,59,162080,1291,3348,1603,16,377,1210,1745,31.0,1699,1498,119,438,0.007965202369200395
WHITTLESEA,27070,Northern Metropolitan,Metro,989,38,0.322,22,0.428,34,1275,25,411550,27,0.7490000000000001,7,0.17800000000000002,9,0.305,75,0.228,4,3.8,51,197490,1759,4602,2318,21,608,1689,2284,55.0,2524,1853,83,665,0.008906780090131145
WODONGA,27170,Hume,Regional,975,26,0.376,17,0.373,67,1075,35,304000,46,0.758,5,0.0,0,0.531,18,0.11800000000000001,63,3.4,60,39347,267,600,350,9,93,248,250,3.0,306,265,19,93,0.006785777822959819
WYNDHAM,27260,Western Metropolitan,Metro,1013,55,0.193,45,0.369,69,1424,9,375000,32,0.721,20,0.262,1,0.34700000000000003,73,0.174,21,4.4,45,217118,1385,3521,1737,25,460,1252,1784,45.0,1999,1313,46,490,0.00637901970357133
YARRA,27350,Northern Metropolitan,Metro,1019,57,0.121,55,0.292,77,1680,5,950000,6,0.366,78,0.034,52,0.551,12,0.14800000000000002,43,7.3,14,86652,1564,3486,1722,6,431,1285,1764,19.0,1964,1299,35,280,0.018049208327563127
YARRA RANGES,27450,Eastern Metropolitan,Metro,1037,63,0.07200000000000001,62,0.37799999999999995,59,1281,23,445000,25,0.723,19,0.175,10,0.44799999999999995,47,0.152,37,6.4,23,149542,1860,4050,2413,34,741,1638,1637,82.0,2268,1578,124,565,0.012437977290660818
YARRIAMBIACK,27630,Grampians,Regional,952,14,0.429,12,0.478,8,773,74,102500,76,0.624,58,0.0,0,0.469,34,0.267,2,5.1,38,6675,45,76,62,3,20,39,14,1.0,49,26,5,13,0.006741573033707865
