LGA Name,LGA Code,Departmental Region,City_Regional,Index of Relative Socio-Economic Disadvantage (IRSD),Index of Relative Socio-Economic Disadvantage (IRSD) (rank),Percentage of highly disadvantaged SA1s,Percentage of highly disadvantaged SA1s (rank),People with income less than $400 per week,People with income less than $400 per week (rank),Median household income,Median household income (rank),Median house price,Median house price (rank),Journeys to work which are by car,Journeys to work which are by car (rank),People with at least 2 hour daily commute,People with at least 2 hour daily commute (rank),People at increased risk of alcohol-related harm on a single occasion of drinking,People at increased risk of alcohol-related harm on a single occasion of drinking (rank),People reporting fair or poor health status,People reporting fair or poor health status (rank),"Clients that received Alcohol & Drug Treatment Services per 1,000 population","Clients that received Alcohol & Drug Treatment Services per 1,000 population (rank)",Total_pop
ALPINE,20110,Hume,Regional,987,35,0.238,33,0.448,21,829,67,265000,50,0.439,77,0.083,35,0.561,6,0.193,10,1,78,12335
ARARAT,20260,Grampians,Regional,951,11,0.455,8,0.433,30,844,64,193000,68,0.687,38,0,0,0.482,31,0.144,45,11.5,4,11599
BALLARAT,20570,Grampians,Regional,981,29,0.315,23,0.417,39,988,44,294000,48,0.738,15,0.047,47,0.537,15,0.123,60,5.5,31,101689
BANYULE,20660,Northern Metropolitan,Metro,1047,67,0.083,60,0.369,68,1394,12,620000,17,0.641,55,0.206,5,0.407,64,0.167,31,3.7,54,121869
BASS COAST,20740,Gippsland,Regional,978,27,0.216,36,0.438,26,855,61,340000,38,0.714,25,0.068,40,0.452,44,0.177,20,7.1,17,32806
BAW BAW,20830,Gippsland,Regional,998,47,0.152,54,0.415,41,1025,40,309000,44,0.699,32,0.108,25,0.429,59,0.129,58,5.1,35,48477
BAYSIDE,20910,Southern Metropolitan,Metro,1091,77,0.023,73,0.327,76,1826,3,1250000,3,0.627,57,0.141,20,0.505,23,0.085,78,2.8,67,97092
BENALLA,21010,Hume,Regional,957,16,0.297,26,0.448,22,827,69,235500,59,0.693,34,0,0,0.402,66,0.098,71,3.2,62,13863
BENDIGO,22620,Loddon Mallee,Regional,983,31,0.28,28,0.413,43,991,43,320000,41,0.74,13,0,0,0.441,50,0.172,26,7.1,15,110479
BOROONDARA,21110,Eastern Metropolitan,Metro,1098,78,0.008,75,0.333,75,1893,1,1550000,1,0.566,68,0.055,43,0.488,28,0.103,68,2.5,70,167232
BRIMBANK,21180,Western Metropolitan,Metro,926,3,0.591,3,0.483,6,1106,34,405000,28,0.715,24,0.167,11,0.338,74,0.238,3,6.3,24,194315
BULOKE,21270,Loddon Mallee,Regional,968,22,0.381,16,0.496,5,742,76,95000,77,0.567,67,0,0,0.456,42,0.216,6,2.8,68,6202
CAMPASPE,21370,Loddon Mallee,Regional,964,20,0.359,20,0.442,24,886,58,247000,56,0.687,39,0.025,58,0.493,26,0.15,40,6.5,20,37054
CARDINIA,21450,Southern Metropolitan,Metro,1024,59,0.098,58,0.376,65,1303,20,355000,36,0.745,10,0.167,11,0.427,60,0.129,59,4.8,40,94130
CASEY,21610,Southern Metropolitan,Metro,1006,51,0.197,44,0.397,55,1342,16,401000,29,0.766,1,0.166,13,0.369,69,0.173,24,4.3,46,299296
CENTRAL GOLDFIELDS,21670,Loddon Mallee,Regional,905,2,0.657,2,0.535,2,685,79,200000,66,0.694,33,0.093,32,0.453,43,0.18,17,8.6,11,12993
COLAC OTWAY,21750,Barwon-South Western,Regional,965,21,0.259,29,0.418,37,914,51,271500,49,0.671,45,0,0,0.56,7,0.093,76,6.9,18,20971
CORANGAMITE,21830,Barwon-South Western,Regional,986,34,0.218,35,0.435,27,909,53,180000,69,0.583,66,0.042,49,0.44,52,0.143,46,4.2,47,16053
DANDENONG,22670,Southern Metropolitan,Metro,895,1,0.767,1,0.504,4,953,46,450000,24,0.723,18,0.103,27,0.26,79,0.291,1,6.3,25,152052
DAREBIN,21890,Northern Metropolitan,Metro,990,39,0.242,31,0.42,36,1178,31,700000,13,0.542,71,0.148,17,0.371,68,0.208,7,5.3,33,146722
EAST GIPPSLAND,22110,Gippsland,Regional,958,17,0.367,18,0.47,9,798,72,259000,52,0.691,35,0.075,37,0.44,51,0.179,18,10,8,45041
FRANKSTON,22170,Southern Metropolitan,Metro,997,44,0.215,38,0.386,58,1140,33,400000,30,0.747,9,0.22,2,0.446,48,0.139,50,7.1,16,134144
GANNAWARRA,22250,Loddon Mallee,Regional,959,18,0.361,19,0.48,7,764,75,145000,74,0.642,53,0,60,0.293,76,0.149,41,20.6,1,10548
GEELONG,22750,Barwon-South Western,Regional,993,40,0.241,32,0.418,38,1049,38,388000,31,0.724,17,0.098,29,0.449,46,0.152,38,5.9,26,233426
GLEN EIRA,22310,Southern Metropolitan,Metro,1069,74,0,76,0.349,73,1445,8,1021000,5,0.59,65,0.095,31,0.457,41,0.096,72,3,66,140875
GLENELG,22410,Barwon-South Western,Regional,960,19,0.45,9,0.456,14,899,56,170000,71,0.69,36,0,0,0.361,72,0.147,44,9.5,9,19556
GOLDEN PLAINS,22490,Grampians,Regional,1030,62,0.063,64,0.408,46,1217,27,357500,35,0.745,11,0.063,41,0.484,30,0.149,42,2.4,71,21687
HEPBURN,22910,Grampians,Regional,980,28,0.244,30,0.458,13,850,62,330002,40,0.656,48,0.085,33,0.476,33,0.115,64,4,50,15327
HINDMARSH,22980,Grampians,Regional,947,9,0.5,4,0.466,11,785,73,90000,78,0.594,64,0.08,36,0.514,22,0.196,9,5.7,28,5725
HOBSONS BAY,23110,Western Metropolitan,Metro,1002,49,0.202,43,0.399,51,1286,22,580000,21,0.657,47,0.14,22,0.462,38,0.158,34,4.4,44,88777
HORSHAM,23190,Grampians,Regional,987,36,0.184,47,0.397,53,946,47,211000,64,0.716,23,0,0,0.498,24,0.187,12,13.2,2,19641
HUME,23270,Northern Metropolitan,Metro,952,12,0.394,14,0.453,16,1214,29,365000,34,0.743,12,0.084,34,0.276,77,0.218,5,5.5,30,197376
INDIGO,23350,Hume,Regional,1010,53,0.159,53,0.401,50,1066,36,251000,53,0.701,31,0,0,0.583,4,0.134,53,2.1,75,15953
KINGSTON,23430,Southern Metropolitan,Metro,1038,64,0.069,63,0.378,62,1292,21,675000,14,0.687,40,0.141,20,0.451,45,0.174,23,3.7,53,151389
KNOX,23670,Eastern Metropolitan,Metro,1049,68,0.028,72,0.378,63,1401,10,565000,22,0.749,6,0.142,19,0.374,67,0.174,22,6.5,21,154109
LATROBE,23810,Gippsland,Regional,940,7,0.446,10,0.452,17,942,48,218000,63,0.764,2,0,0,0.433,56,0.153,36,10.5,6,73257
LODDON,23940,Loddon Mallee,Regional,934,4,0.5,4,0.542,1,686,78,135000,75,0.551,70,0,0,0.41,63,0.184,15,7.5,13,7512
MACEDON RANGES,24130,Loddon Mallee,Regional,1055,71,0.038,69,0.377,64,1395,11,440000,26,0.684,41,0.21,4,0.443,49,0.131,56,3.2,61,46103
MANNINGHAM,24210,Eastern Metropolitan,Metro,1071,75,0,76,0.398,52,1467,7,887500,8,0.704,30,0.188,7,0.361,71,0.091,77,2.2,74,116260
MANSFIELD,24250,Hume,Regional,1012,54,0.05,67,0.429,32,891,57,296000,47,0.473,75,0.057,42,0.463,37,0.099,70,1.2,77,8589
MARIBYRNONG,24330,Western Metropolitan,Metro,974,24,0.303,25,0.405,47,1257,26,664500,15,0.563,69,0.118,24,0.425,61,0.169,27,5.6,29,82285
MAROONDAH,24410,Eastern Metropolitan,Metro,1044,65,0.062,65,0.364,70,1308,19,600000,19,0.707,27,0.105,26,0.487,29,0.143,47,4.7,42,110372
MELBOURNE,24600,Western Metropolitan,Metro,1026,60,0.103,57,0.374,66,1352,15,890000,7,0.268,79,0.048,46,0.477,32,0.167,30,3.8,52,135964
MELTON,24650,Western Metropolitan,Metro,1002,50,0.222,34,0.378,60,1363,14,372000,33,0.748,8,0.219,3,0.275,78,0.187,13,4.7,41,135443
MILDURA,24780,Loddon Mallee,Regional,935,5,0.437,11,0.451,19,878,60,225000,62,0.739,14,0,0,0.465,35,0.134,54,10.9,5,53878
MITCHELL,24850,Hume,Regional,996,43,0.212,40,0.405,48,1170,32,305250,45,0.716,22,0.154,16,0.464,36,0.162,32,5.4,32,40916
MOIRA,24900,Hume,Regional,952,15,0.383,15,0.47,10,828,68,240000,58,0.681,44,0.034,52,0.539,14,0.188,11,3.6,55,29108
MONASH,24970,Eastern Metropolitan,Metro,1045,66,0.029,71,0.43,31,1321,17,850000,9,0.652,49,0.191,6,0.367,70,0.168,28,2.3,73,182617
MOONEE VALLEY,25060,Western Metropolitan,Metro,1027,61,0.077,61,0.378,61,1377,13,750000,11,0.617,61,0.05,44,0.404,65,0.185,14,5.1,37,116674
MOORABOOL,25150,Grampians,Regional,1008,52,0.107,56,0.411,44,1183,30,337750,39,0.719,21,0.187,8,0.537,16,0.122,61,3.1,64,31820
MORELAND,25250,Northern Metropolitan,Metro,998,47,0.212,39,0.409,45,1215,28,630000,16,0.526,72,0.071,39,0.438,53,0.182,16,5.1,34,162564
MORNINGTON PENINSULA,25340,Southern Metropolitan,Metro,1023,58,0.159,52,0.395,57,1054,37,523334,23,0.727,16,0.143,18,0.529,19,0.13,57,4.9,39,154996
MOUNT ALEXANDER,25430,Loddon Mallee,Regional,983,32,0.216,37,0.45,20,838,66,345000,37,0.642,54,0.097,30,0.432,57,0.136,51,6.5,22,18762
MOYNE,25490,Barwon-South Western,Regional,1017,56,0.096,59,0.397,54,1040,39,315000,43,0.596,63,0.041,50,0.552,11,0.14,48,4,48,16499
MURRINDINDI,25620,Hume,Regional,997,45,0.175,49,0.444,23,917,50,230000,60,0.644,51,0.124,23,0.587,3,0.178,19,3.2,63,13730
NILLUMBIK,25710,Northern Metropolitan,Metro,1098,79,0,76,0.337,74,1872,2,617000,18,0.709,26,0.165,14,0.555,8,0.094,74,2.4,72,61274
NORTHERN GRAMPIANS,25810,Grampians,Regional,938,6,0.472,7,0.46,12,815,70,165000,73,0.684,42,0.033,55,0.457,40,0.168,29,12,3,11436
PORT PHILLIP,25900,Southern Metropolitan,Metro,1066,72,0.055,66,0.241,79,1672,6,1182500,4,0.457,76,0.05,44,0.553,10,0.111,66,5.9,27,100863
PYRENEES,25990,Grampians,Regional,940,8,0.476,6,0.519,3,732,77,195000,67,0.639,56,0,0,0.458,39,0.172,25,4,49,7240
QUEENSCLIFFE,26080,Barwon-South Western,Regional,1053,70,0,76,0.349,72,1022,42,750000,11,0.621,60,0,0,0.599,1,0.084,79,2,76,2854
SHEPPARTON,22830,Hume,Regional,952,13,0.395,13,0.413,42,980,45,249000,55,0.76,3,0.024,59,0.497,25,0.151,39,7.5,12,63839
SOUTH GIPPSLAND,26170,Gippsland,Regional,1000,48,0.164,51,0.435,28,920,49,260000,51,0.644,52,0.039,51,0.419,62,0.118,62,4.5,43,28700
SOUTHERN GRAMPIANS,26260,Barwon-South Western,Regional,994,41,0.18,48,0.417,40,908,54,180000,69,0.664,46,0.046,48,0.493,27,0.096,73,5.1,36,15941
STONNINGTON,26350,Southern Metropolitan,Metro,1084,76,0.023,74,0.284,78,1722,4,1450000,2,0.488,74,0.034,52,0.54,13,0.139,49,3.5,57,103831
STRATHBOGIE,26430,Hume,Regional,970,23,0.281,27,0.452,18,843,65,246000,57,0.645,50,0,0,0.43,58,0.155,35,3.5,58,10272
SURF COAST,26490,Barwon-South Western,Regional,1066,73,0.048,68,0.363,71,1277,24,599000,20,0.69,37,0.161,15,0.597,2,0.1,69,3,65,29402
SWAN HILL,26610,Loddon Mallee,Regional,950,10,0.35,21,0.433,29,886,58,202938,65,0.706,28,0.032,56,0.525,20,0.161,33,9.1,10,20587
TOWONG,26670,Hume,Regional,996,42,0.211,41,0.454,15,850,62,170000,71,0.604,62,0.073,38,0.554,9,0.112,65,0,0,5986
WANGARATTA,26700,Hume,Regional,981,30,0.208,42,0.423,35,913,52,251000,53,0.705,29,0,0,0.435,55,0.093,75,2.5,69,28310
WARRNAMBOOL,26730,Barwon-South Western,Regional,989,37,0.175,49,0.397,56,1025,40,318500,42,0.759,4,0,0,0.571,5,0.106,67,10.5,7,33655
WELLINGTON,26810,Gippsland,Regional,974,25,0.311,24,0.44,25,905,55,230000,60,0.682,43,0.032,56,0.525,21,0.132,55,6.8,19,42986
WEST WIMMERA,26890,Grampians,Regional,986,33,0.188,46,0.429,33,815,70,90000,78,0.519,73,0,0,0.535,17,0.199,8,3.5,56,3905
WHITEHORSE,26980,Eastern Metropolitan,Metro,1051,69,0.03,70,0.404,49,1317,18,822444,10,0.622,59,0.103,27,0.435,54,0.136,52,3.4,59,162080
WHITTLESEA,27070,Northern Metropolitan,Metro,989,38,0.322,22,0.428,34,1275,25,411550,27,0.749,7,0.178,9,0.305,75,0.228,4,3.8,51,197490
WODONGA,27170,Hume,Regional,975,26,0.376,17,0.373,67,1075,35,304000,46,0.758,5,0,0,0.531,18,0.118,63,3.4,60,39347
WYNDHAM,27260,Western Metropolitan,Metro,1013,55,0.193,45,0.369,69,1424,9,375000,32,0.721,20,0.262,1,0.347,73,0.174,21,4.4,45,217118
YARRA,27350,Northern Metropolitan,Metro,1019,57,0.121,55,0.292,77,1680,5,950000,6,0.366,78,0.034,52,0.551,12,0.148,43,7.3,14,86652
YARRA RANGES,27450,Eastern Metropolitan,Metro,1037,63,0.072,62,0.378,59,1281,23,445000,25,0.723,19,0.175,10,0.448,47,0.152,37,6.4,23,149542
YARRIAMBIACK,27630,Grampians,Regional,952,14,0.429,12,0.478,8,773,74,102500,76,0.624,58,0,0,0.469,34,0.267,2,5.1,38,6675
